Item Code,UPC ID,Item Name,Grammage,MRP,Batch,Zone Identifier,Location,Entity Vendor,Quantity
10000491,8901491103084,Kurkure Green Chutney Crisps(Packet),68 g,20,,,,,
10000491,8901491103084,Kurkure Green Chutney Crisps(Packet),72 g,20,,,,,
10000491,8901491103084,Kurkure Green Chutney Crisps(Packet),70 g,20,,,,,
10000492,8901491103794,Quaker Rolled Oats,400 g,79,,,,,
10000492,8901491103794,Quaker Rolled Oats,400 g,86,,,,,
10000504,8901499008183,Kellogg's Corn Flakes with Immuno Nutrients(Carton),250 g,115,,,,,
10000504,8901499008183,Kellogg's Corn Flakes with Immuno Nutrients(Carton),288 g,115,,,,,
10000504,8901499008183,Kellogg's Corn Flakes with Immuno Nutrients(Carton),250 g,120,,,,,
10000512,8901499011305,Kellogg's Special K Original Cereal with Whole Wheat(Carton),455 g,265,,,,,
10000512,8901499011305,Kellogg's Special K Original Cereal with Whole Wheat(Carton),455 g,260,,,,,
10000512,8901499011305,Kellogg's Special K Original Cereal with Whole Wheat(Carton),455 g,280,,,,,
10000515,8901512102805,Sundrop Superlite Advanced Sunflower Oil(Pouch),1 l,180,,,,,
10000515,8901512102805,Sundrop Superlite Advanced Sunflower Oil(Pouch),1 l,240,,,,,
10000515,8901512102805,Sundrop Superlite Advanced Sunflower Oil(Pouch),1 l,200,,,,,
10000515,8901512102805,Sundrop Superlite Advanced Sunflower Oil(Pouch),1 l,230,,,,,
10000515,8901512102805,Sundrop Superlite Advanced Sunflower Oil(Pouch),1 l,210,,,,,
10000515,8901512102805,Sundrop Superlite Advanced Sunflower Oil(Pouch),1 l,220,,,,,
10000517,8901512540201,Act II Golden Sizzle Popcorn (Pressure Cooker),40 g,10,,,,,
10000517,8901512540201,Act II Golden Sizzle Popcorn (Pressure Cooker),35 g,10,,,,,
10000517,8901512540201,Act II Golden Sizzle Popcorn (Pressure Cooker),38 g,10,,,,,
10000520,8901537071018,Daawat Biryani Basmati Rice (Long Grains),1 kg,250,,,,,
10000521,8901537074354,Daawat Brown Basmati Rice(Jar),1 kg,200,,,,,
10000524,8901030824913,Horlicks Mother's Plus Vanilla Drink Mix(Refill),500 g,620,,,,,
10000528,8901571004836,Sensodyne Rapid Relief Sensitive Toothpaste,80 g,210,,,,,
10000528,8901571004836,Sensodyne Rapid Relief Sensitive Toothpaste,80 g,200,,,,,
10000530,8901595862726,"Ching's Secret Dark Soy Sauce Rich, Brown and Zesty",210 g,60,,,,,
10000532,8901595862740,"Ching's Secret Red Chilli Sauce, Bold, Fiery & Aromatic(Bottle)",200 g,60,,,,,
10000536,8901719117220,Hide & Seek Chocolate Chip Cookies,200 g,60,,,,,
10000537,8901719123993,Parle Krackjack Crackers Sweet & Salty Biscuits(Packet),200 g + 50 g,40,,,,,
10000537,8901719124006,Parle Krackjack Crackers Sweet & Salty Biscuits(Packet),200 g,40,,,,,
10000538,8901719117183,Hide & Seek Chocolate Chip Cookies (100 g),100 g,30,,,,,
10000547,8901719127762,Parle Mango Bite - with Juicy Mango Taste Candy(Pouch),271.66 g,50,,,,,
10000548,8901719220173,Parle Melody Chocolaty Candy,391 g,100,,,,,
10000554,8901725121228,Aashirvaad Select 100% MP Sharbati Atta,5 kg,361,,,,,
10000554,8901725121228,Aashirvaad Select 100% MP Sharbati Atta,5 kg,373,,,,,
10000554,8901725121228,Aashirvaad Select 100% MP Sharbati Atta,5 kg,336,,,,,
10000554,8901725121228,Aashirvaad Select 100% MP Sharbati Atta,5 kg,389,,,,,
10000554,8901725121228,Aashirvaad Select 100% MP Sharbati Atta,5 kg,346,,,,,
10000555,8901725121624,Aashirvaad High Fibre Atta with Multigrains - 5 kg,5 kg,364,,,,,
10000555,8901725121624,Aashirvaad High Fibre Atta with Multigrains - 5 kg,5 kg,369,,,,,
